Nome_do_modelo,Operacao,Resultado_do_modelo,Resposta_bruta,Resultado_original_decimal,Acerto_da_operacao,Acerto_do_formato_de_resposta,Conta_decimal,custo_total
gemini-3.7-flash,2 dígitos,20.52,20.52,20.52,True,True,7.6x2.7 = ?,0.000135
gemini-3.7-flash,2 dígitos,62.31,62.31,62.31,True,True,9.3x6.7 = ?,0.000135
gemini-3.7-flash,2 dígitos,54.72,54.72,54.72,True,True,9.6x5.7 = ?,0.000135
gemini-3.7-flash,2 dígitos,34.86,34.86,34.86,True,True,8.3x4.2 = ?,0.000135
gemini-3.7-flash,2 dígitos,19.6,19.6,19.6,True,True,5.6x3.5 = ?,0.000126
gemini-3.7-flash,2 dígitos,81.84,81.84,81.84,True,True,9.3x8.8 = ?,0.000135
gemini-3.7-flash,2 dígitos,41.4,41.4,41.4,True,True,4.6x9 = ?,0.000112
gemini-3.7-flash,2 dígitos,46.02,46.02,46.02,True,True,7.8x5.9 = ?,0.000135
gemini-3.7-flash,2 dígitos,50.05,50.05,50.05,True,True,6.5x7.7 = ?,0.000135
gemini-3.7-flash,2 dígitos,11.28,11.28,11.28,True,True,1.2x9.4 = ?,0.000135
gemini-3.7-flash,2 dígitos,37.24,37.24,37.24,True,True,4.9x7.6 = ?,0.000135
gemini-3.7-flash,2 dígitos,53.58,53.58,53.58,True,True,9.4x5.7 = ?,0.000135
gemini-3.7-flash,2 dígitos,41.18,41.18,41.18,True,True,7.1x5.8 = ?,0.000135
gemini-3.7-flash,2 dígitos,10.54,10.54,10.54,True,True,1.7x6.2 = ?,0.000135
gemini-3.7-flash,2 dígitos,35.15,35.15,35.15,True,True,9.5x3.7 = ?,0.000135
gemini-3.7-flash,2 dígitos,37.84,37.84,37.84,True,True,4.4x8.6 = ?,0.000135
gemini-3.7-flash,2 dígitos,6.5,6.5,6.5,True,True,5x1.3 = ?,0.000112
gemini-3.7-flash,2 dígitos,58.46,58.46,58.46,True,True,7.9x7.4 = ?,0.000135
gemini-3.7-flash,2 dígitos,37.4,37.4,37.4,True,True,8.5x4.4 = ?,0.000126
gemini-3.7-flash,2 dígitos,13.6,13.6,13.6,True,True,6.8x2 = ?,0.000122
gemini-3.7-flash,2 dígitos,27.84,27.84,27.84,True,True,3.2x8.7 = ?,0.000135
gemini-3.7-flash,2 dígitos,7.0,7.0,7.0,False,True,2.8x2.5 = ?,9.7e-05
gemini-3.7-flash,2 dígitos,14.8,14.8,14.8,True,True,3.7x4 = ?,0.000122
gemini-3.7-flash,2 dígitos,49.6,49.6,49.6,True,True,6.2x8 = ?,0.000122
gemini-3.7-flash,2 dígitos,32.4,32.4,32.4,True,True,3.6x9 = ?,0.000122
gemini-3.7-flash,2 dígitos,3.84,3.84,3.84,True,True,1.6x2.4 = ?,0.000126
gemini-3.7-flash,2 dígitos,54.4,54.4,54.4,True,True,8.5x6.4 = ?,0.000126
gemini-3.7-flash,2 dígitos,8.91,8.91,8.91,True,True,8.1x1.1 = ?,0.000126
gemini-3.7-flash,2 dígitos,36.04,36.04,36.04,True,True,5.3x6.8 = ?,0.000135
