num_a,num_b,string,resultado,tipo,num_a_decimal,num_b_decimal,Conta_decimal,Resultado_original_decimal
76,27,76x27 = ?,2052,2 dígitos,7.6,2.7,7.6x2.7 = ?,20.52
93,67,93x67 = ?,6231,2 dígitos,9.3,6.7,9.3x6.7 = ?,62.31
96,57,96x57 = ?,5472,2 dígitos,9.6,5.7,9.6x5.7 = ?,54.72
83,42,83x42 = ?,3486,2 dígitos,8.3,4.2,8.3x4.2 = ?,34.86
56,35,56x35 = ?,1960,2 dígitos,5.6,3.5,5.6x3.5 = ?,19.60
93,88,93x88 = ?,8184,2 dígitos,9.3,8.8,9.3x8.8 = ?,81.84
46,90,46x90 = ?,4140,2 dígitos,4.6,9.0,4.6x9 = ?,41.4
78,59,78x59 = ?,4602,2 dígitos,7.8,5.9,7.8x5.9 = ?,46.02
65,77,65x77 = ?,5005,2 dígitos,6.5,7.7,6.5x7.7 = ?,50.05
12,94,12x94 = ?,1128,2 dígitos,1.2,9.4,1.2x9.4 = ?,11.28
49,76,49x76 = ?,3724,2 dígitos,4.9,7.6,4.9x7.6 = ?,37.24
94,57,94x57 = ?,5358,2 dígitos,9.4,5.7,9.4x5.7 = ?,53.58
71,58,71x58 = ?,4118,2 dígitos,7.1,5.8,7.1x5.8 = ?,41.18
17,62,17x62 = ?,1054,2 dígitos,1.7,6.2,1.7x6.2 = ?,10.54
95,37,95x37 = ?,3515,2 dígitos,9.5,3.7,9.5x3.7 = ?,35.15
44,86,44x86 = ?,3784,2 dígitos,4.4,8.6,4.4x8.6 = ?,37.84
50,13,50x13 = ?,650,2 dígitos,5.0,1.3,5x1.3 = ?,6.5
79,74,79x74 = ?,5846,2 dígitos,7.9,7.4,7.9x7.4 = ?,58.46
85,44,85x44 = ?,3740,2 dígitos,8.5,4.4,8.5x4.4 = ?,37.40
68,20,68x20 = ?,1360,2 dígitos,6.8,2.0,6.8x2 = ?,13.6
32,87,32x87 = ?,2784,2 dígitos,3.2,8.7,3.2x8.7 = ?,27.84
28,25,28x25 = ?,700,2 dígitos,2.8,2.5,2.8x2.5 = ?,7.00
37,40,37x40 = ?,1480,2 dígitos,3.7,4.0,3.7x4 = ?,14.8
62,80,62x80 = ?,4960,2 dígitos,6.2,8.0,6.2x8 = ?,49.6
36,90,36x90 = ?,3240,2 dígitos,3.6,9.0,3.6x9 = ?,32.4
16,24,16x24 = ?,384,2 dígitos,1.6,2.4,1.6x2.4 = ?,3.84
85,64,85x64 = ?,5440,2 dígitos,8.5,6.4,8.5x6.4 = ?,54.40
81,11,81x11 = ?,891,2 dígitos,8.1,1.1,8.1x1.1 = ?,8.91
53,68,53x68 = ?,3604,2 dígitos,5.3,6.8,5.3x6.8 = ?,36.04
