nome do modelo,quantidade de digitos,resultado bruto do modelo,resultado tratado do modelo,resultado original,acerto da operacao,acerto do formato de resposta,conta,custo total,custo de input tokens,custo de output tokens,quantidade de reasoning tokens gerados,resumo do raciocinio
gemini-3.8-flash,6 dígitos,886472156736,886472156736,886472156736,True,True,660222 * (961102 + 381586) = ?,0.018922,0.000228,0.018695,956,
gemini-3.8-flash,3 dígitos,623368,623368,623368,True,True,536 * (273 + 890) = ?,0.006953,0.000193,0.006759,344,
gemini-3.8-flash,8 dígitos,3121661215174160,3121661215174160,3121661912807160,False,True,62908436 * (34574127 + 15048183) = ?,0.019081,0.000251,0.01883,959,
gemini-3.8-flash,2 dígitos,4880,4880,4880,True,True,80 * (23 + 38) = ?,0.002345,0.000182,0.002163,108,
gemini-3.8-flash,3 dígitos,425523,425523,425523,True,True,483 * (208 + 673) = ?,0.007281,0.000193,0.007088,361,
gemini-3.8-flash,4 dígitos,52628562,52628562,52628562,True,True,3654 * (8793 + 5610) = ?,0.023264,0.000205,0.023059,1186,
gemini-3.8-flash,9 dígitos,1255428616182103460,1255428616182103460,1255425510665013260,False,True,943301540 * (952178738 + 378705881) = ?,0.019131,0.000263,0.018868,958,
gemini-3.8-flash,2 dígitos,455,455,455,True,True,13 * (16 + 19) = ?,0.002789,0.000182,0.002607,132,
gemini-3.8-flash,6 dígitos,911950965511,911950965511,911949892511,False,True,775057 * (737885 + 438738) = ?,0.019038,0.000228,0.01881,962,
gemini-3.8-flash,9 dígitos,903863851917789440,903863851917789440,903862955291502440,False,True,757893305 * (581331152 + 611268056) = ?,0.01915,0.000263,0.018888,960,
gemini-3.8-flash,8 dígitos,2211821034407381,2211821034407381,2211821148277881,False,True,16178499 * (63812084 + 72901535) = ?,0.019042,0.000251,0.018791,957,
gemini-3.8-flash,6 dígitos,672687238428,672687238428,672687238428,True,True,962018 * (428843 + 270403) = ?,0.019,0.000228,0.018772,960,
gemini-3.8-flash,9 dígitos,652655518485290240,652655518485290240,652655509529891360,False,True,853375840 * (316045546 + 448747033) = ?,0.019131,0.000263,0.018868,959,
gemini-3.8-flash,6 dígitos,451379315687,451379315687,451379305687,False,True,435943 * (201755 + 833654) = ?,0.019019,0.000228,0.018791,961,
gemini-3.8-flash,3 dígitos,744462,744462,744462,True,True,701 * (918 + 144) = ?,0.004674,0.000193,0.004481,226,
gemini-3.8-flash,6 dígitos,1616282399170,1616282399170,1616282399170,True,True,953438 * (701797 + 993418) = ?,0.019019,0.000228,0.018791,960,
gemini-3.8-flash,6 dígitos,805352681210,805352681210,805352681210,True,True,870247 * (323783 + 601647) = ?,0.019193,0.000228,0.018965,970,
gemini-3.8-flash,7 dígitos,20476442761094,20476442761094,20476442761094,True,True,3086627 * (4327249 + 2306673) = ?,0.019764,0.000239,0.019525,997,
gemini-3.8-flash,7 dígitos,95237604318860,95237604318860,95237602849860,False,True,9397732 * (4078887 + 6055218) = ?,0.019301,0.000239,0.019061,973,
gemini-3.8-flash,4 dígitos,95404306,95404306,95404306,True,True,7582 * (6880 + 5703) = ?,0.014979,0.000205,0.014774,757,
