num_a,num_b,conta,resultado da operacao,quantidade de digitos
76,27,76 * 27 = ?,2052,2 dígitos
93,67,93 * 67 = ?,6231,2 dígitos
96,57,96 * 57 = ?,5472,2 dígitos
83,42,83 * 42 = ?,3486,2 dígitos
56,35,56 * 35 = ?,1960,2 dígitos
93,88,93 * 88 = ?,8184,2 dígitos
46,90,46 * 90 = ?,4140,2 dígitos
78,59,78 * 59 = ?,4602,2 dígitos
65,77,65 * 77 = ?,5005,2 dígitos
12,94,12 * 94 = ?,1128,2 dígitos
49,76,49 * 76 = ?,3724,2 dígitos
94,57,94 * 57 = ?,5358,2 dígitos
71,58,71 * 58 = ?,4118,2 dígitos
17,62,17 * 62 = ?,1054,2 dígitos
95,37,95 * 37 = ?,3515,2 dígitos
44,86,44 * 86 = ?,3784,2 dígitos
50,13,50 * 13 = ?,650,2 dígitos
79,74,79 * 74 = ?,5846,2 dígitos
85,44,85 * 44 = ?,3740,2 dígitos
68,20,68 * 20 = ?,1360,2 dígitos
32,87,32 * 87 = ?,2784,2 dígitos
28,25,28 * 25 = ?,700,2 dígitos
37,40,37 * 40 = ?,1480,2 dígitos
62,80,62 * 80 = ?,4960,2 dígitos
36,90,36 * 90 = ?,3240,2 dígitos
16,24,16 * 24 = ?,384,2 dígitos
85,64,85 * 64 = ?,5440,2 dígitos
81,11,81 * 11 = ?,891,2 dígitos
53,68,53 * 68 = ?,3604,2 dígitos
65,35,65 * 35 = ?,2275,2 dígitos
60,94,60 * 94 = ?,5640,2 dígitos
66,59,66 * 59 = ?,3894,2 dígitos
22,28,22 * 28 = ?,616,2 dígitos
91,11,91 * 11 = ?,1001,2 dígitos
61,54,61 * 54 = ?,3294,2 dígitos
58,66,58 * 66 = ?,3828,2 dígitos
59,96,59 * 96 = ?,5664,2 dígitos
13,77,13 * 77 = ?,1001,2 dígitos
21,31,21 * 31 = ?,651,2 dígitos
99,13,99 * 13 = ?,1287,2 dígitos
21,13,21 * 13 = ?,273,2 dígitos
16,19,16 * 19 = ?,304,2 dígitos
97,24,97 * 24 = ?,2328,2 dígitos
93,80,93 * 80 = ?,7440,2 dígitos
22,64,22 * 64 = ?,1408,2 dígitos
37,48,37 * 48 = ?,1776,2 dígitos
27,71,27 * 71 = ?,1917,2 dígitos
84,75,84 * 75 = ?,6300,2 dígitos
57,26,57 * 26 = ?,1482,2 dígitos
15,96,15 * 96 = ?,1440,2 dígitos
146,371,146 * 371 = ?,54166,3 dígitos
415,396,415 * 396 = ?,164340,3 dígitos
509,401,509 * 401 = ?,204109,3 dígitos
533,868,533 * 868 = ?,462644,3 dígitos
519,485,519 * 485 = ?,251715,3 dígitos
936,961,936 * 961 = ?,899496,3 dígitos
586,160,586 * 160 = ?,93760,3 dígitos
421,984,421 * 984 = ?,414264,3 dígitos
866,423,866 * 423 = ?,366318,3 dígitos
912,919,912 * 919 = ?,838128,3 dígitos
747,188,747 * 188 = ?,140436,3 dígitos
241,512,241 * 512 = ?,123392,3 dígitos
464,419,464 * 419 = ?,194416,3 dígitos
440,731,440 * 731 = ?,321640,3 dígitos
596,580,596 * 580 = ?,345680,3 dígitos
477,524,477 * 524 = ?,249948,3 dígitos
572,984,572 * 984 = ?,562848,3 dígitos
862,158,862 * 158 = ?,136196,3 dígitos
593,177,593 * 177 = ?,104961,3 dígitos
108,306,108 * 306 = ?,33048,3 dígitos
490,165,490 * 165 = ?,80850,3 dígitos
322,298,322 * 298 = ?,95956,3 dígitos
652,987,652 * 987 = ?,643524,3 dígitos
176,560,176 * 560 = ?,98560,3 dígitos
765,590,765 * 590 = ?,451350,3 dígitos
735,597,735 * 597 = ?,438795,3 dígitos
235,881,235 * 881 = ?,207035,3 dígitos
528,863,528 * 863 = ?,455664,3 dígitos
357,859,357 * 859 = ?,306663,3 dígitos
781,306,781 * 306 = ?,238986,3 dígitos
540,571,540 * 571 = ?,308340,3 dígitos
675,581,675 * 581 = ?,392175,3 dígitos
615,117,615 * 117 = ?,71955,3 dígitos
188,850,188 * 850 = ?,159800,3 dígitos
315,297,315 * 297 = ?,93555,3 dígitos
709,662,709 * 662 = ?,469358,3 dígitos
457,230,457 * 230 = ?,105110,3 dígitos
