Nome do modelo,Operacao,Resultado bruto do modelo,Resultado original,Acerto da operacao,Acerto do formato de resposta,Conta,Custo total,Custo de input tokens,Custo de output tokens,Custo de reasoning tokens,Quantidade de reasoning tokens gerados,Nome_do_modelo,Resultado_do_modelo,Resposta_bruta,Acerto_da_operacao,Acerto_do_formato_de_resposta,custo_total
gemini-3.8-flash,2 dígitos,126,126,True,True,36+90 = ?,0.001139,0.000155,0.000985,0.000927,48,gemini-3.8-flash,126,126,True,True,0.001139
gemini-3.8-flash,7 dígitos,14840013,14840013,True,True,5888516+8951497 = ?,0.007995,0.000193,0.007802,0.007648,396,gemini-3.8-flash,14840013,14840013,True,True,0.007995
gemini-3.8-flash,8 dígitos,106257108,106257108,True,True,62764743+43492365 = ?,0.007926,0.000201,0.007725,0.007551,391,gemini-3.8-flash,106257108,106257108,True,True,0.007926
gemini-3.8-flash,5 dígitos,70525,70525,True,True,57900+12625 = ?,0.003712,0.000178,0.003534,0.003438,178,gemini-3.8-flash,70525,70525,True,True,0.003712
gemini-3.8-flash,10 dígitos,8066641747,8066641747,True,True,4440407780+3626233967 = ?,0.007594,0.000216,0.007377,0.007184,372,gemini-3.8-flash,8066641747,8066641747,True,True,0.007594
gemini-3.8-flash,9 dígitos,1006113188,1006113188,True,True,466095725+540017463 = ?,0.010734,0.000209,0.010525,0.010332,535,gemini-3.8-flash,1006113188,1006113188,True,True,0.010734
gemini-3.8-flash,5 dígitos,86357,86357,True,True,16546+69811 = ?,0.003364,0.000178,0.003187,0.00309,160,gemini-3.8-flash,86357,86357,True,True,0.003364
gemini-3.8-flash,2 dígitos,142,142,True,True,65+77 = ?,0.002704,0.000155,0.002549,0.002491,129,gemini-3.8-flash,142,142,True,True,0.002704
gemini-3.8-flash,4 dígitos,15155,15155,True,True,7773+7382 = ?,0.003202,0.00017,0.003032,0.002936,152,gemini-3.8-flash,15155,15155,True,True,0.003202
gemini-3.8-flash,8 dígitos,161722603,161722603,True,True,68361477+93361126 = ?,0.005801,0.000201,0.005601,0.005427,281,gemini-3.8-flash,161722603,161722603,True,True,0.005801
gemini-3.8-flash,8 dígitos,65584151,65584151,True,True,10062728+55521423 = ?,0.0064,0.000201,0.006199,0.006045,313,gemini-3.8-flash,65584151,65584151,True,True,0.0064
gemini-3.8-flash,5 dígitos,115999,115999,True,True,50159+65840 = ?,0.003924,0.000178,0.003747,0.003631,188,gemini-3.8-flash,115999,115999,True,True,0.003924
gemini-3.8-flash,2 dígitos,100,100,True,True,65+35 = ?,0.002453,0.000155,0.002298,0.00224,116,gemini-3.8-flash,100,100,True,True,0.002453
gemini-3.8-flash,9 dígitos,789470035,789470035,True,True,390228819+399241216 = ?,0.007625,0.000209,0.007416,0.007242,375,gemini-3.8-flash,789470035,789470035,True,True,0.007625
gemini-3.8-flash,9 dígitos,1243456867,1243456867,True,True,264633002+978823865 = ?,0.007431,0.000209,0.007223,0.00703,364,gemini-3.8-flash,1243456867,1243456867,True,True,0.007431
gemini-3.8-flash,5 dígitos,66723,66723,True,True,27306+39417 = ?,0.00319,0.000178,0.003013,0.002916,151,gemini-3.8-flash,66723,66723,True,True,0.00319
gemini-3.8-flash,10 dígitos,7016597208,7016597208,True,True,2055117404+4961479804 = ?,0.008849,0.000216,0.008633,0.00844,437,gemini-3.8-flash,7016597208,7016597208,True,True,0.008849
gemini-3.8-flash,10 dígitos,10900162308,10900162308,True,True,4232008719+6668153589 = ?,0.01528,0.000216,0.015064,0.014851,769,gemini-3.8-flash,10900162308,10900162308,True,True,0.01528
gemini-3.8-flash,9 dígitos,705206004,705206004,True,True,509187545+196018459 = ?,0.008745,0.000209,0.008536,0.008362,433,gemini-3.8-flash,705206004,705206004,True,True,0.008745
gemini-3.8-flash,4 dígitos,12780,12780,True,True,8207+4573 = ?,0.003878,0.00017,0.003708,0.003611,187,gemini-3.8-flash,12780,12780,True,True,0.003878
gemini-3.8-flash,7 dígitos,11682711,11682711,True,True,3960770+7721941 = ?,0.00645,0.000193,0.006257,0.006103,316,gemini-3.8-flash,11682711,11682711,True,True,0.00645
gemini-3.8-flash,2 dígitos,34,34,True,True,21+13 = ?,0.001893,0.000155,0.001738,0.001719,89,gemini-3.8-flash,34,34,True,True,0.001893
gemini-3.8-flash,4 dígitos,5802,5802,True,True,3878+1924 = ?,0.002893,0.00017,0.002723,0.002646,137,gemini-3.8-flash,5802,5802,True,True,0.002893
gemini-3.8-flash,9 dígitos,1524233138,1524233138,True,True,924115192+600117946 = ?,0.008474,0.000209,0.008266,0.008073,418,gemini-3.8-flash,1524233138,1524233138,True,True,0.008474
gemini-3.8-flash,3 dígitos,1672,1672,True,True,758+914 = ?,0.003194,0.000162,0.003032,0.002955,153,gemini-3.8-flash,1672,1672,True,True,0.003194
gemini-3.8-flash,5 dígitos,169884,169884,True,True,78809+91075 = ?,0.002708,0.000178,0.00253,0.002414,125,gemini-3.8-flash,169884,169884,True,True,0.002708
gemini-3.8-flash,6 dígitos,1586308,1586308,True,True,739912+846396 = ?,0.004666,0.000185,0.004481,0.004345,225,gemini-3.8-flash,1586308,1586308,True,True,0.004666
