num_a,num_b,conta,resultado da operacao,quantidade de digitos
76,27,76+27 = ?,103,2 dígitos
93,67,93+67 = ?,160,2 dígitos
96,57,96+57 = ?,153,2 dígitos
83,42,83+42 = ?,125,2 dígitos
56,35,56+35 = ?,91,2 dígitos
93,88,93+88 = ?,181,2 dígitos
46,90,46+90 = ?,136,2 dígitos
78,59,78+59 = ?,137,2 dígitos
65,77,65+77 = ?,142,2 dígitos
12,94,12+94 = ?,106,2 dígitos
49,76,49+76 = ?,125,2 dígitos
94,57,94+57 = ?,151,2 dígitos
71,58,71+58 = ?,129,2 dígitos
17,62,17+62 = ?,79,2 dígitos
95,37,95+37 = ?,132,2 dígitos
44,86,44+86 = ?,130,2 dígitos
50,13,50+13 = ?,63,2 dígitos
79,74,79+74 = ?,153,2 dígitos
85,44,85+44 = ?,129,2 dígitos
68,20,68+20 = ?,88,2 dígitos
32,87,32+87 = ?,119,2 dígitos
28,25,28+25 = ?,53,2 dígitos
37,40,37+40 = ?,77,2 dígitos
62,80,62+80 = ?,142,2 dígitos
36,90,36+90 = ?,126,2 dígitos
16,24,16+24 = ?,40,2 dígitos
85,64,85+64 = ?,149,2 dígitos
81,11,81+11 = ?,92,2 dígitos
53,68,53+68 = ?,121,2 dígitos
65,35,65+35 = ?,100,2 dígitos
60,94,60+94 = ?,154,2 dígitos
66,59,66+59 = ?,125,2 dígitos
22,28,22+28 = ?,50,2 dígitos
91,11,91+11 = ?,102,2 dígitos
61,54,61+54 = ?,115,2 dígitos
58,66,58+66 = ?,124,2 dígitos
59,96,59+96 = ?,155,2 dígitos
13,77,13+77 = ?,90,2 dígitos
21,31,21+31 = ?,52,2 dígitos
99,13,99+13 = ?,112,2 dígitos
21,13,21+13 = ?,34,2 dígitos
16,19,16+19 = ?,35,2 dígitos
97,24,97+24 = ?,121,2 dígitos
93,80,93+80 = ?,173,2 dígitos
22,64,22+64 = ?,86,2 dígitos
37,48,37+48 = ?,85,2 dígitos
27,71,27+71 = ?,98,2 dígitos
84,75,84+75 = ?,159,2 dígitos
57,26,57+26 = ?,83,2 dígitos
15,96,15+96 = ?,111,2 dígitos
146,371,146+371 = ?,517,3 dígitos
415,396,415+396 = ?,811,3 dígitos
509,401,509+401 = ?,910,3 dígitos
533,868,533+868 = ?,1401,3 dígitos
519,485,519+485 = ?,1004,3 dígitos
936,961,936+961 = ?,1897,3 dígitos
586,160,586+160 = ?,746,3 dígitos
421,984,421+984 = ?,1405,3 dígitos
866,423,866+423 = ?,1289,3 dígitos
912,919,912+919 = ?,1831,3 dígitos
747,188,747+188 = ?,935,3 dígitos
241,512,241+512 = ?,753,3 dígitos
464,419,464+419 = ?,883,3 dígitos
440,731,440+731 = ?,1171,3 dígitos
596,580,596+580 = ?,1176,3 dígitos
477,524,477+524 = ?,1001,3 dígitos
572,984,572+984 = ?,1556,3 dígitos
862,158,862+158 = ?,1020,3 dígitos
593,177,593+177 = ?,770,3 dígitos
108,306,108+306 = ?,414,3 dígitos
490,165,490+165 = ?,655,3 dígitos
322,298,322+298 = ?,620,3 dígitos
652,987,652+987 = ?,1639,3 dígitos
176,560,176+560 = ?,736,3 dígitos
765,590,765+590 = ?,1355,3 dígitos
