Nome_do_modelo,Operacao,Resultado_do_modelo,Resposta_bruta,Resultado_original,Acerto_da_operacao,Acerto_do_formato_de_resposta,Conta,custo_total
gemini-2.5-pro,2 dígitos,2052.0,2052,2052,True,True,76x27 = ?,0.000515
gemini-2.5-flash,2 dígitos,2052.0,2052,2052,True,True,76x27 = ?,0.000126
gemini-2.5-pro,2 dígitos,6231.0,6231,6231,True,True,93x67 = ?,0.000515
gemini-2.5-flash,2 dígitos,6231.0,6231,6231,True,True,93x67 = ?,0.000126
gemini-2.5-pro,2 dígitos,5472.0,5472,5472,True,True,96x57 = ?,0.000515
gemini-2.5-flash,2 dígitos,5472.0,5472,5472,True,True,96x57 = ?,0.000126
gemini-2.5-pro,2 dígitos,3486.0,3486,3486,True,True,83x42 = ?,0.000515
gemini-2.5-flash,2 dígitos,3486.0,3486,3486,True,True,83x42 = ?,0.000126
gemini-2.5-pro,2 dígitos,1960.0,1960,1960,True,True,56x35 = ?,0.000515
gemini-2.5-flash,2 dígitos,1960.0,1960,1960,True,True,56x35 = ?,0.000126
gemini-2.5-pro,2 dígitos,8184.0,8184,8184,True,True,93x88 = ?,0.000515
gemini-2.5-flash,2 dígitos,8184.0,8184,8184,True,True,93x88 = ?,0.000126
gemini-2.5-pro,2 dígitos,4140.0,4140,4140,True,True,46x90 = ?,0.000515
gemini-2.5-flash,2 dígitos,4140.0,4140,4140,True,True,46x90 = ?,0.000126
gemini-2.5-pro,2 dígitos,4602.0,4602,4602,True,True,78x59 = ?,0.000515
gemini-2.5-flash,2 dígitos,4602.0,4602,4602,True,True,78x59 = ?,0.000126
gemini-2.5-pro,2 dígitos,5005.0,5005,5005,True,True,65x77 = ?,0.000515
gemini-2.5-flash,2 dígitos,5005.0,5005,5005,True,True,65x77 = ?,0.000126
gemini-2.5-pro,2 dígitos,1128.0,1128,1128,True,True,12x94 = ?,0.000515
gemini-2.5-flash,2 dígitos,1128.0,1128,1128,True,True,12x94 = ?,0.000126
gemini-2.5-pro,2 dígitos,3724.0,3724,3724,True,True,49x76 = ?,0.000515
gemini-2.5-flash,2 dígitos,3724.0,3724,3724,True,True,49x76 = ?,0.000126
gemini-2.5-pro,2 dígitos,5358.0,5358,5358,True,True,94x57 = ?,0.000515
gemini-2.5-flash,2 dígitos,5358.0,5358,5358,True,True,94x57 = ?,0.000126
gemini-2.5-pro,2 dígitos,4118.0,4118,4118,True,True,71x58 = ?,0.000515
gemini-2.5-flash,2 dígitos,4118.0,4118,4118,True,True,71x58 = ?,0.000126
gemini-2.5-pro,2 dígitos,1054.0,1054,1054,True,True,17x62 = ?,0.000515
gemini-2.5-flash,2 dígitos,1054.0,1054,1054,True,True,17x62 = ?,0.000126
gemini-2.5-pro,2 dígitos,3515.0,3515,3515,True,True,95x37 = ?,0.000515
gemini-2.5-flash,2 dígitos,3515.0,3515,3515,True,True,95x37 = ?,0.000126
gemini-2.5-pro,2 dígitos,3784.0,3784,3784,True,True,44x86 = ?,0.000515
gemini-2.5-flash,2 dígitos,3784.0,3784,3784,True,True,44x86 = ?,0.000126
gemini-2.5-pro,2 dígitos,650.0,650,650,True,True,50x13 = ?,0.000464
gemini-2.5-flash,2 dígitos,650.0,650,650,True,True,50x13 = ?,0.000113
gemini-2.5-pro,2 dígitos,5846.0,5846,5846,True,True,79x74 = ?,0.000515
gemini-2.5-flash,2 dígitos,5846.0,5846,5846,True,True,79x74 = ?,0.000126
gemini-2.5-pro,2 dígitos,3740.0,3740,3740,True,True,85x44 = ?,0.000515
gemini-2.5-flash,2 dígitos,3740.0,3740,3740,True,True,85x44 = ?,0.000126
gemini-2.5-pro,2 dígitos,1360.0,1360,1360,True,True,68x20 = ?,0.000515
gemini-2.5-flash,2 dígitos,1360.0,1360,1360,True,True,68x20 = ?,0.000126
gemini-2.5-pro,2 dígitos,2784.0,2784,2784,True,True,32x87 = ?,0.000515
gemini-2.5-flash,2 dígitos,2784.0,2784,2784,True,True,32x87 = ?,0.000126
gemini-2.5-pro,2 dígitos,700.0,700,700,True,True,28x25 = ?,0.000464
gemini-2.5-flash,2 dígitos,700.0,700,700,True,True,28x25 = ?,0.000113
gemini-2.5-pro,2 dígitos,1480.0,1480,1480,True,True,37x40 = ?,0.000515
gemini-2.5-flash,2 dígitos,1480.0,1480,1480,True,True,37x40 = ?,0.000126
gemini-2.5-pro,2 dígitos,4960.0,4960,4960,True,True,62x80 = ?,0.000515
gemini-2.5-flash,2 dígitos,4960.0,4960,4960,True,True,62x80 = ?,0.000126
gemini-2.5-pro,2 dígitos,3240.0,3240,3240,True,True,36x90 = ?,0.000515
gemini-2.5-flash,2 dígitos,3240.0,3240,3240,True,True,36x90 = ?,0.000126
gemini-2.5-pro,2 dígitos,384.0,384,384,True,True,16x24 = ?,0.000464
gemini-2.5-flash,2 dígitos,384.0,384,384,True,True,16x24 = ?,0.000113
gemini-2.5-pro,2 dígitos,5440.0,5440,5440,True,True,85x64 = ?,0.000515
gemini-2.5-flash,2 dígitos,5440.0,5440,5440,True,True,85x64 = ?,0.000126
gemini-2.5-pro,2 dígitos,891.0,891,891,True,True,81x11 = ?,0.000464
gemini-2.5-flash,2 dígitos,891.0,891,891,True,True,81x11 = ?,0.000113
gemini-2.5-pro,2 dígitos,3604.0,3604,3604,True,True,53x68 = ?,0.000515
gemini-2.5-flash,2 dígitos,3604.0,3604,3604,True,True,53x68 = ?,0.000126
gemini-2.5-pro,2 dígitos,2275.0,2275,2275,True,True,65x35 = ?,0.000515
gemini-2.5-flash,2 dígitos,2275.0,2275,2275,True,True,65x35 = ?,0.000126
gemini-2.5-pro,2 dígitos,5640.0,5640,5640,True,True,60x94 = ?,0.000515
gemini-2.5-flash,2 dígitos,5640.0,5640,5640,True,True,60x94 = ?,0.000126
gemini-2.5-pro,2 dígitos,3894.0,3894,3894,True,True,66x59 = ?,0.000515
gemini-2.5-flash,2 dígitos,3894.0,3894,3894,True,True,66x59 = ?,0.000126
gemini-2.5-pro,2 dígitos,616.0,616,616,True,True,22x28 = ?,0.000464
gemini-2.5-flash,2 dígitos,616.0,616,616,True,True,22x28 = ?,0.000113
gemini-2.5-pro,2 dígitos,1001.0,1001,1001,True,True,91x11 = ?,0.000515
gemini-2.5-flash,2 dígitos,1001.0,1001,1001,True,True,91x11 = ?,0.000126
gemini-2.5-pro,2 dígitos,3294.0,3294,3294,True,True,61x54 = ?,0.000515
gemini-2.5-flash,2 dígitos,3294.0,3294,3294,True,True,61x54 = ?,0.000126
gemini-2.5-pro,2 dígitos,3828.0,3828,3828,True,True,58x66 = ?,0.000515
gemini-2.5-flash,2 dígitos,3828.0,3828,3828,True,True,58x66 = ?,0.000126
gemini-2.5-pro,2 dígitos,5664.0,5664,5664,True,True,59x96 = ?,0.000515
gemini-2.5-flash,2 dígitos,5664.0,5664,5664,True,True,59x96 = ?,0.000126
gemini-2.5-pro,2 dígitos,1001.0,1001,1001,True,True,13x77 = ?,0.000515
gemini-2.5-flash,2 dígitos,1001.0,1001,1001,True,True,13x77 = ?,0.000126
gemini-2.5-pro,2 dígitos,651.0,651,651,True,True,21x31 = ?,0.000464
gemini-2.5-flash,2 dígitos,651.0,651,651,True,True,21x31 = ?,0.000113
gemini-2.5-pro,2 dígitos,1287.0,1287,1287,True,True,99x13 = ?,0.000515
gemini-2.5-flash,2 dígitos,1287.0,1287,1287,True,True,99x13 = ?,0.000126
gemini-2.5-pro,2 dígitos,273.0,273,273,True,True,21x13 = ?,0.000464
gemini-2.5-flash,2 dígitos,273.0,273,273,True,True,21x13 = ?,0.000113
gemini-2.5-pro,2 dígitos,304.0,304,304,True,True,16x19 = ?,0.000464
gemini-2.5-flash,2 dígitos,304.0,304,304,True,True,16x19 = ?,0.000113
gemini-2.5-pro,2 dígitos,2328.0,2328,2328,True,True,97x24 = ?,0.000515
gemini-2.5-flash,2 dígitos,2328.0,2328,2328,True,True,97x24 = ?,0.000126
gemini-2.5-pro,2 dígitos,7440.0,7440,7440,True,True,93x80 = ?,0.000515
gemini-2.5-flash,2 dígitos,7440.0,7440,7440,True,True,93x80 = ?,0.000126
gemini-2.5-pro,2 dígitos,1408.0,1408,1408,True,True,22x64 = ?,0.000515
gemini-2.5-flash,2 dígitos,1408.0,1408,1408,True,True,22x64 = ?,0.000126
gemini-2.5-pro,2 dígitos,1776.0,1776,1776,True,True,37x48 = ?,0.000515
gemini-2.5-flash,2 dígitos,1776.0,1776,1776,True,True,37x48 = ?,0.000126
gemini-2.5-pro,2 dígitos,1917.0,1917,1917,True,True,27x71 = ?,0.000515
gemini-2.5-flash,2 dígitos,1917.0,1917,1917,True,True,27x71 = ?,0.000126
gemini-2.5-pro,2 dígitos,6300.0,6300,6300,True,True,84x75 = ?,0.000515
gemini-2.5-flash,2 dígitos,6300.0,6300,6300,True,True,84x75 = ?,0.000126
gemini-2.5-pro,2 dígitos,1482.0,1482,1482,True,True,57x26 = ?,0.000515
gemini-2.5-flash,2 dígitos,1482.0,1482,1482,True,True,57x26 = ?,0.000126
gemini-2.5-pro,2 dígitos,1440.0,1440,1440,True,True,15x96 = ?,0.000515
gemini-2.5-flash,2 dígitos,1440.0,1440,1440,True,True,15x96 = ?,0.000126
gemini-2.5-pro,2 dígitos,1400.0,1400,1400,True,True,56x25 = ?,0.000515
gemini-2.5-flash,2 dígitos,1400.0,1400,1400,True,True,56x25 = ?,0.000126
gemini-2.5-pro,2 dígitos,3450.0,3450,3450,True,True,69x50 = ?,0.000515
gemini-2.5-flash,2 dígitos,3450.0,3450,3450,True,True,69x50 = ?,0.000126
gemini-2.5-pro,2 dígitos,1925.0,1925,1925,True,True,35x55 = ?,0.000515
gemini-2.5-flash,2 dígitos,1925.0,1925,1925,True,True,35x55 = ?,0.000126
gemini-2.5-pro,2 dígitos,590.0,590,590,True,True,59x10 = ?,0.000464
gemini-2.5-flash,2 dígitos,590.0,590,590,True,True,59x10 = ?,0.000113
gemini-2.5-pro,2 dígitos,1755.0,1755,1755,True,True,45x39 = ?,0.000515
gemini-2.5-flash,2 dígitos,1755.0,1755,1755,True,True,45x39 = ?,0.000126
gemini-2.5-pro,2 dígitos,1023.0,1023,1023,True,True,11x93 = ?,0.000515
gemini-2.5-flash,2 dígitos,1023.0,1023,1023,True,True,11x93 = ?,0.000126
gemini-2.5-pro,2 dígitos,3120.0,3120,3120,True,True,78x40 = ?,0.000515
gemini-2.5-flash,2 dígitos,3120.0,3120,3120,True,True,78x40 = ?,0.000126
gemini-2.5-pro,2 dígitos,1190.0,1190,1190,True,True,17x70 = ?,0.000515
gemini-2.5-flash,2 dígitos,1190.0,1190,1190,True,True,17x70 = ?,0.000126
gemini-2.5-pro,2 dígitos,6450.0,6450,6450,True,True,75x86 = ?,0.000515
gemini-2.5-flash,2 dígitos,6450.0,6450,6450,True,True,75x86 = ?,0.000126
gemini-2.5-pro,2 dígitos,4158.0,4158,4158,True,True,77x54 = ?,0.000515
gemini-2.5-flash,2 dígitos,4158.0,4158,4158,True,True,77x54 = ?,0.000126
gemini-2.5-pro,2 dígitos,1037.0,1037,1037,True,True,61x17 = ?,0.000515
gemini-2.5-flash,2 dígitos,1037.0,1037,1037,True,True,61x17 = ?,0.000126
