Nome_do_modelo,Operacao,Resultado_do_modelo,Resposta_bruta,Resultado_original_decimal,Acerto_da_operacao,Acerto_do_formato_de_resposta,Conta_decimal,custo_total
gemini-3.8-flash,2 dígitos,62.31,62.31,62.31,True,True,9.3x6.7 = ?,0.004345
gemini-3.8-flash,2 dígitos,20.52,20.52,20.52,True,True,7.6x2.7 = ?,0.00506
gemini-3.8-flash,2 dígitos,54.72,54.72,54.72,True,True,9.6x5.7 = ?,0.0028
gemini-3.8-flash,2 dígitos,19.6,19.6,19.60,True,True,5.6x3.5 = ?,0.002491
gemini-3.8-flash,2 dígitos,34.86,34.86,34.86,True,True,8.3x4.2 = ?,0.00282
gemini-3.8-flash,2 dígitos,81.84,81.84,81.84,True,True,9.3x8.8 = ?,0.005156
gemini-3.8-flash,2 dígitos,32.4,32.4,32.4,True,True,3.6x9 = ?,0.001518
gemini-3.8-flash,2 dígitos,36.04,36.04,36.04,True,True,5.3x6.8 = ?,0.002569
gemini-3.8-flash,2 dígitos,10.01,10.01,10.01,True,True,1.3x7.7 = ?,0.002453
gemini-3.8-flash,2 dígitos,54.4,54.4,54.40,True,True,8.5x6.4 = ?,0.002897
gemini-3.8-flash,2 dígitos,23.28,23.28,23.28,True,True,9.7x2.4 = ?,0.003669
gemini-3.8-flash,2 dígitos,13.6,13.6,13.6,True,True,6.8x2 = ?,0.00343
gemini-3.8-flash,2 dígitos,6.51,6.51,6.51,True,True,2.1x3.1 = ?,0.002549
gemini-3.8-flash,2 dígitos,8.91,8.91,8.91,True,True,8.1x1.1 = ?,0.003476
gemini-3.8-flash,2 dígitos,46.02,46.02,46.02,True,True,7.8x5.9 = ?,0.002936
gemini-3.8-flash,2 dígitos,22.75,22.75,22.75,True,True,6.5x3.5 = ?,0.002549
gemini-3.8-flash,2 dígitos,50.05,50.05,50.05,True,True,6.5x7.7 = ?,0.002607
gemini-3.8-flash,2 dígitos,14.08,14.08,14.08,True,True,2.2x6.4 = ?,0.004036
gemini-3.8-flash,2 dígitos,41.4,41.4,41.4,True,True,4.6x9 = ?,0.001634
gemini-3.8-flash,2 dígitos,3.04,3.04,3.04,True,True,1.6x1.9 = ?,0.002839
gemini-3.8-flash,2 dígitos,17.76,17.76,17.76,True,True,3.7x4.8 = ?,0.003032
gemini-3.8-flash,2 dígitos,37.24,37.24,37.24,True,True,4.9x7.6 = ?,0.002974
gemini-3.8-flash,2 dígitos,38.94,38.94,38.94,True,True,6.6x5.9 = ?,0.00365
gemini-3.8-flash,2 dígitos,74.4,74.4,74.4,True,True,9.3x8 = ?,0.002136
gemini-3.8-flash,2 dígitos,11.28,11.28,11.28,True,True,1.2x9.4 = ?,0.002511
gemini-3.8-flash,2 dígitos,56.64,56.64,56.64,True,True,5.9x9.6 = ?,0.004133
gemini-3.8-flash,2 dígitos,6.5,6.5,6.5,True,True,5x1.3 = ?,0.001267
gemini-3.8-flash,2 dígitos,38.28,38.28,38.28,True,True,5.8x6.6 = ?,0.003978
gemini-3.8-flash,2 dígitos,49.6,49.6,49.6,True,True,6.2x8 = ?,0.002175
gemini-3.8-flash,2 dígitos,2.73,2.73,2.73,True,True,2.1x1.3 = ?,0.003476
gemini-3.8-flash,2 dígitos,41.18,41.18,41.18,True,True,7.1x5.8 = ?,0.00479
gemini-3.8-flash,2 dígitos,10.01,10.01,10.01,True,True,9.1x1.1 = ?,0.002356
gemini-3.8-flash,2 dígitos,3.84,3.84,3.84,True,True,1.6x2.4 = ?,0.005736
gemini-3.8-flash,2 dígitos,27.84,27.84,27.84,True,True,3.2x8.7 = ?,0.00477
gemini-3.8-flash,2 dígitos,37.4,37.4,37.40,True,True,8.5x4.4 = ?,0.004133
gemini-3.8-flash,2 dígitos,58.46,58.46,58.46,True,True,7.9x7.4 = ?,0.003302
gemini-3.8-flash,2 dígitos,37.84,37.84,37.84,True,True,4.4x8.6 = ?,0.00282
gemini-3.8-flash,2 dígitos,6.16,6.16,6.16,True,True,2.2x2.8 = ?,0.005968
gemini-3.8-flash,2 dígitos,35.15,35.15,35.15,True,True,9.5x3.7 = ?,0.004249
gemini-3.8-flash,2 dígitos,7,7,7.00,True,True,2.8x2.5 = ?,0.004847
gemini-3.8-flash,2 dígitos,56.4,56.4,56.4,True,True,6x9.4 = ?,0.003237
gemini-3.8-flash,2 dígitos,53.58,53.58,53.58,True,True,9.4x5.7 = ?,0.007165
gemini-3.8-flash,2 dígitos,14.8,14.8,14.8,True,True,3.7x4 = ?,0.004453
gemini-3.8-flash,2 dígitos,19.17,19.17,19.17,True,True,2.7x7.1 = ?,0.004075
gemini-3.8-flash,2 dígitos,68.62,68.62,68.62,True,True,7.3x9.4 = ?,0.002298
gemini-3.8-flash,2 dígitos,34.5,34.5,34.5,True,True,6.9x5 = ?,0.001537
gemini-3.8-flash,2 dígitos,14.4,14.4,14.40,True,True,1.5x9.6 = ?,0.00365
gemini-3.8-flash,2 dígitos,8.74,8.74,8.74,True,True,2.3x3.8 = ?,0.003438
gemini-3.8-flash,2 dígitos,5.9,5.9,5.9,True,True,5.9x1 = ?,0.002986
gemini-3.8-flash,2 dígitos,11.9,11.9,11.9,True,True,1.7x7 = ?,0.001769
gemini-3.8-flash,2 dígitos,14.82,14.82,14.82,True,True,5.7x2.6 = ?,0.00394
gemini-3.8-flash,2 dígitos,64.5,64.5,64.50,True,True,7.5x8.6 = ?,0.003302
gemini-3.8-flash,2 dígitos,10.37,10.37,10.37,True,True,6.1x1.7 = ?,0.003669
