num_a,num_b,num_c,conta,resultado da operacao,quantidade de digitos
76,27,93,76 * (27 + 93) = ?,9120,2 dígitos
67,96,57,67 * (96 + 57) = ?,10251,2 dígitos
83,42,56,83 * (42 + 56) = ?,8134,2 dígitos
35,93,88,35 * (93 + 88) = ?,6335,2 dígitos
46,90,78,46 * (90 + 78) = ?,7728,2 dígitos
59,65,77,59 * (65 + 77) = ?,8378,2 dígitos
12,94,49,12 * (94 + 49) = ?,1716,2 dígitos
76,94,57,76 * (94 + 57) = ?,11476,2 dígitos
71,58,17,71 * (58 + 17) = ?,5325,2 dígitos
62,95,37,62 * (95 + 37) = ?,8184,2 dígitos
44,86,50,44 * (86 + 50) = ?,5984,2 dígitos
13,79,74,13 * (79 + 74) = ?,1989,2 dígitos
85,44,68,85 * (44 + 68) = ?,9520,2 dígitos
20,32,87,20 * (32 + 87) = ?,2380,2 dígitos
28,25,37,28 * (25 + 37) = ?,1736,2 dígitos
40,62,80,40 * (62 + 80) = ?,5680,2 dígitos
36,90,16,36 * (90 + 16) = ?,3816,2 dígitos
24,85,64,24 * (85 + 64) = ?,3576,2 dígitos
81,11,53,81 * (11 + 53) = ?,5184,2 dígitos
68,65,35,68 * (65 + 35) = ?,6800,2 dígitos
60,94,66,60 * (94 + 66) = ?,9600,2 dígitos
59,22,28,59 * (22 + 28) = ?,2950,2 dígitos
91,11,61,91 * (11 + 61) = ?,6552,2 dígitos
54,58,66,54 * (58 + 66) = ?,6696,2 dígitos
59,96,13,59 * (96 + 13) = ?,6431,2 dígitos
77,21,31,77 * (21 + 31) = ?,4004,2 dígitos
99,13,21,99 * (13 + 21) = ?,3366,2 dígitos
13,16,19,13 * (16 + 19) = ?,455,2 dígitos
97,24,93,97 * (24 + 93) = ?,11349,2 dígitos
80,22,64,80 * (22 + 64) = ?,6880,2 dígitos
37,48,27,37 * (48 + 27) = ?,2775,2 dígitos
71,84,75,71 * (84 + 75) = ?,11289,2 dígitos
57,26,15,57 * (26 + 15) = ?,2337,2 dígitos
96,56,25,96 * (56 + 25) = ?,7776,2 dígitos
69,50,35,69 * (50 + 35) = ?,5865,2 dígitos
55,59,10,55 * (59 + 10) = ?,3795,2 dígitos
45,39,11,45 * (39 + 11) = ?,2250,2 dígitos
93,78,40,93 * (78 + 40) = ?,10974,2 dígitos
17,70,75,17 * (70 + 75) = ?,2465,2 dígitos
86,77,54,86 * (77 + 54) = ?,11266,2 dígitos
61,17,98,61 * (17 + 98) = ?,7015,2 dígitos
80,23,38,80 * (23 + 38) = ?,4880,2 dígitos
73,94,46,73 * (94 + 46) = ?,10220,2 dígitos
50,98,73,50 * (98 + 73) = ?,8550,2 dígitos
68,87,18,68 * (87 + 18) = ?,7140,2 dígitos
88,16,75,88 * (16 + 75) = ?,8008,2 dígitos
80,50,84,80 * (50 + 84) = ?,10720,2 dígitos
86,86,35,86 * (86 + 35) = ?,10406,2 dígitos
17,23,54,17 * (23 + 54) = ?,1309,2 dígitos
11,51,88,11 * (51 + 88) = ?,1529,2 dígitos
540,571,675,540 * (571 + 675) = ?,672840,3 dígitos
581,615,117,581 * (615 + 117) = ?,425292,3 dígitos
188,850,315,188 * (850 + 315) = ?,219020,3 dígitos
